ID,Creak Claim,Modified Claim,Answer,Answer original,Comments,,
C1,Peter Sellers spent his life as a single bachelor.,Naďa Hejná spent all her life as a single bachelor.,FALSE,FALSE,,,
C2,No voice actors sang in the Beauty and the Beast.,No voice actors or actresses sang in the Summer of Old Times.,FALSE,FALSE,,,
C3,Richard Branson became a Police officer that shot and killed a man.,Daniel Rapant became a police officer that shot and killed a man.,FALSE,FALSE,,,
C4,The first time gender equality was brought up was in 2010.,Zionism emerged before William Edward Collinson was born.,TRUE,FALSE,emerged instead of brought up?,agreed!,
C5,The Western Wall ceases to exist anymore.,Nelson Dock Retaining Wall no longer exists.,FALSE,FALSE,no longer exists?,,
C6,Ernst Haeckel publish books that focused on evolutionary biology.,Salvador Novo published books that focused on evolutionary biology.,FALSE,TRUE,,,
C7,One can watch Bugs Bunny on the television.,One can watch Pamiętnik Chrumasa on the television.,TRUE,TRUE,,,
C8,Some people study books about Stoicism.,Some people study books about Xuanxue.,TRUE,TRUE,,,
C9,Alfred Nobel took a career in acting.,Florencia Labat took a career in acting.,FALSE,FALSE,,,
C10,"Augusta, Georgia has many beaches to swim at.",Gurvansaikhan has many beaches to swim at.,FALSE,TRUE,,,
C11,Kia Motors ceases to exist as an entity.,Jordan Motor Car Company no longer exists.,TRUE,FALSE,no longer exists?,,
C12,Modern spaceflight started prior to World War I.,The Laotian Civil War ended before Ahn Jung-hwan's birth.,TRUE,FALSE,,,
C13,The Statue of Freedom and the Statue of Liberty are the same thing.,Vahdat hall and Roudaki hall are the same thing.,TRUE,FALSE,,,
C14,A boulevard can typically be found in any city or town.,A boulevard is likely to be found in Aruppukkottai.,TRUE,TRUE,,,
C15,Ronda Rousey has proved that girls are unable to participate in martial arts.,Sanaa Atabrour has proved that girls are unable to participate in martial arts.,FALSE,FALSE,,,
C16,Dmitry Medvedev plays hockey for the French national team.,Anita Reniers plays hockey for the French national team.,FALSE,FALSE,,,
C17,Pope Gregory VII released his best song in 2015.,Guido Tarlati released a best-selling song in 2015.,FALSE,FALSE,is best ambiguous?,a best-selling song? The guy isn't singer:),ahh haha trick question!
C18,Charles the Bald ruled over France and Italy during the 9th century.,Ya'qub ibn al-Layth al-Saffar ruled over Afghanistan during a part of the 9th century.,TRUE,TRUE,,,
C19,Dwyane Wade won 3 championships with the Miami Heat.,Carmelo Buonocore spent most of his career in Milan.,TRUE,TRUE,,,
C20,Pablo Neruda wrote a great number of exceptional poems.,Renzo Burini wrote a great number of exceptional poems.,FALSE,TRUE,,,
C21,The cartoon of Bugs Bunny was influenced by the Rick and Morty cartoon.,Giovanni Battista Casti's works may be influenced by Maria Grazia Lenisa's poems.,FALSE,FALSE,,,
C22,The couple went to the movie theater to watch Prison Break.,It is likely for people to to watch Chez le prof. Pierre in a movie theater.,FALSE,FALSE,the couple? is this any generic couple?,is the new one better?,ya much clearer in my opinion
C23,Marshall McLuhan practice Islam fervently and has partaken in various jihads.,William Jaya Kusli practiced Islam fervently and has partaken in various jihads.,FALSE,FALSE,,,
C24,Robert De Niro has a lot of popular songs he sings.,Volker Zotz has a lot of popular songs he sings.,FALSE,FALSE,,,
C25,Dwyane Wade played basketball during his career.,Alfons T'Kint played football during his career.,TRUE,TRUE,,,
C26,Nights begin to grow longer during the Autumn.,Nights grow longer during the season in which Nika Shakarami was born.,TRUE,TRUE,,,
C27,Nancy Pelosi represents her district in the U.S. Congress.,Pavlo Khazan is a member of the parliament of his homeland country.,TRUE,TRUE,,,
C28,Some women experience menopause when they age.,Benedetta Maroni is likely to have experienced menopause by the year 2060.,TRUE,TRUE,,,
C29,Modern vehicles use friction to Brake or slow down to come to a stop.,IKCO Samand uses friction to brake or slow down to come to a stop.,TRUE,TRUE,,,
C30,Alexander Graham Bell descended from a Scottish physicist.,Tibor Bártfay descended from a Scottish physicist.,FALSE,FALSE,,,
C31,Wilhelm Wundt studied under Sigmund Freud.,It is very likely that Arnold Lazarus was aware of who Sigmund Freud was.,TRUE,FALSE,,,
C32,Lake Tanganyika ceases to exist after drought.,Lake Urmia ceases to exist because of drought.,FALSE,FALSE,,,
C33,Florence Nightingale acted in many movies and won an Oscar.,Nancy Chodorow acted in many movies and won an Oscar.,FALSE,FALSE,,,
C34,Satanism and Christianity go hand in hand.,The political ideologies of the Fuerza Nacional and the Tudeh Party of Iran go hand in hand.,FALSE,FALSE,,,
C35,Boris Yeltsin lead the British to victory over the French in a war.,Michael Seymour could have taken part in the 1947 Opium war.,FALSE,FALSE,,,
C36,Alexander Graham Bell will contest in the next presidential elections.,Martin Slobodník is likely to contest in the next presidential elections in Alajos Mészáros's homeland.,FALSE,FALSE,The guy's dead.,,
C37,Margaret Thatcher leads the Government of the United Kingdom.,Nodar Khashba and Margaret Thatcher held the same position but in different times and locations.,TRUE,FALSE,,,
C38,George S. Patton illustrated children's books for a living.,Martina Di Bari mostly uses her foot when doing her job.,TRUE,FALSE,,,
C39,Only on Wednesday can people go to church.,Elizabeth Kaeton typically had to go to work on Sundays.,TRUE,FALSE,She was a priest.,,
C40,The history of mathematics spans many centuries.,Maria Adeodata Pisani's life spanned two centuries.,FALSE,TRUE,,,
C41,Victoria Beckham married David Beckham and are still together.,Francesco Totti and Ilary Blasi are experiencing a successful marriage.,FALSE,TRUE,,,
C42,LeBron James is the star of the US Open.,Emmanuel Paman has likely participated in the Río de la Plata Challenger.,FALSE,FALSE,,,
C43,One can see both the Statue of Freedom and the United States Capitol at the same time.,One can see the Alaviyan Dome and the Dome of Soltaniyeh at the same time.,FALSE,TRUE,,,
C44,Nicholas II of Russia recently lost re-election to Vladimir Putin.,Iryna Antypenko may be the next president of Sergey Ryazansky's homeland.,FALSE,FALSE,,,
C45,John Dryden died with no children.,Rahi Mo'ayyeri died with no children.,TRUE,FALSE,,,
C46,Dan Brown criticizes the Catholic Church.,Park Hon-young didn't care about the Catholic Commandments.,TRUE,TRUE,,,
C47,People need a dice and a deck of cards to play Texas hold 'em.,The only thing required to play Ahmed-Hasan Khokhar's favourite sport is a raquet.,FALSE,FALSE,,,
C48,Winning the US Open is one of the greatest achievements and also one of the major titles in the tennis world.,Winning the US Open was likely one of the greatest professional achievments that Ankita Bhambri could dream of.,TRUE,TRUE,,,
C49,Benito Mussolini supported democracy for countries.,Hussein Ali Shido's party supported anti-capitalism.,FALSE,FALSE,,,
C50,Robert Fripp died due to the pandemic last year.,Pindale Min's death was related to a pandemic disease.,FALSE,FALSE,,,
C51,People go to Dave Grohl for cooking advice.,It is logical to ask for cooking advice from María Mestayer.,TRUE,FALSE,,,
C52,Koreans split into East and West Korea.,Oh Seong-ok's country is split to two East and West sovereign states.,FALSE,FALSE,,,
