ID,Creak Claim,Modified Claim,Answer,Answer original,KG Entities (Labels and QIDs),KG Triples,Inference Rule,Reasoning Steps,#of Hops,Comments,,
C1,Peter Sellers spent his life as a single bachelor.,Naďa Hejná spent all her life as a single bachelor.,FALSE,FALSE,Naďa Hejná (Q12772348),"(Naďa Hejná, spouse, Vít Hejný)",There must be no evidence of Naďa Hejná's marriage if she lived as a bachelor her whole life.,,,,,
C2,No voice actors sang in the Beauty and the Beast.,No voice actors or actresses sang in the Summer of Old Times.,FALSE,FALSE,Summer of Old Times (Q1475856),"(Summer of Old Times, instance of, musical film)",Summer of Old Times must have not been a musical film to have no actors or actresses singning in it.,,,,,
C3,Richard Branson became a Police officer that shot and killed a man.,Daniel Rapant became a police officer that shot and killed a man.,FALSE,FALSE,"Daniel Rapant (Q11774234)
","(Daniel Rapant, occuption, [archivist, pedagogue, historian])",There must be an evidence of Daniel Rapant being a killer to make the claim true.,,,,,
C4,The first time gender equality was brought up was in 2010.,Zionism emerged before William Edward Collinson was born.,TRUE,FALSE,"Zionism (Q42388), William Edward Collinson (Q20723)

","(Zionism, description, political movement for the establishment of a Jewish nation-state in the area of Palestine, since 1860), (William Edward Collinson, date of birth, 4 January 1889)",The time of inception for Zionism must be earlier than the date of birth of William Edward Collinson to make the claim true.,,,emerged instead of brought up?,agreed!,
C5,The Western Wall ceases to exist anymore.,Nelson Dock Retaining Wall no longer exists.,FALSE,FALSE,Nelson Dock Retaining Wall (Q26504580),"(Nelson Dock Retaining Wall, heritage designation, Grade II listed building{start time, 19 June 1985})",There must be evidence of Nelson Dock Retaining Wall being dissolved or demolished to make the claim true.,,,no longer exists?,,
C6,Ernst Haeckel publish books that focused on evolutionary biology.,Salvador Novo published books that focused on evolutionary biology.,FALSE,TRUE,Salvador Novo (Q63667),"(Salvador Novo, fields of work, [poetry, history of Mexico City, satire, theatre])",Salvador Novo must have been active in the field of biology to make the claim true.,,,,,
C7,One can watch Bugs Bunny on the television.,One can watch Pamiętnik Chrumasa on the television.,TRUE,TRUE,Pamiętnik Chrumasa (Q107379583),"(Pamiętnik Chrumasa, instance of, animated television series)",Pamiętnik Chrumasa must have been a television series or a program that is typically shown on television to make the claim true.,,,,,
C8,Some people study books about Stoicism.,Some people study books about Xuanxue.,TRUE,TRUE,Xuanxue (Q599057),"(Xuanxue, instance of, philosophical movement)","Xuanxue must be a significant event, person, or concept for people to be likely to write books about it.",,,,,
C9,Alfred Nobel took a career in acting.,Florencia Labat took a career in acting.,FALSE,FALSE,Florencia Labat (Q455165),"(Florencia Labat, occupation, tennis player)",Florencia Labat's occupation must be an actor to make the claim true.,,,,,
C10,"Augusta, Georgia has many beaches to swim at.",Gurvansaikhan has many beaches to swim at.,FALSE,TRUE,Gurvansaikhan (Q3404406),"(Gurvansaikhan, country, Mongolia)",Gurvansaikhan must be located near a sea or a large body of water to have multiple beaches.,,,,,
C11,Kia Motors ceases to exist as an entity.,Jordan Motor Car Company no longer exists.,TRUE,FALSE,Jordan Motor Car Company (Q1703639),"(Jordan Motor Car Company, dissolved, abolished or demolished date, April 1931
)",There must be evidence of Jordan Motor Car Company being dissolved or demolished to make the claim true.,,,no longer exists?,,
C12,Modern spaceflight started prior to World War I.,The Laotian Civil War ended before Ahn Jung-hwan's birth.,TRUE,FALSE,"Laotian Civil War (Q877450), .wan (Q313968)

","(Laotian Civil War, end time, 2 December 1975), (Ahn Jung-hwan, date of birth, 27 January 1976)",The end time of the Laotian Civil War must be earlier than the date of birth of Ahn Jung Hwan to make the claim true.,,,,,
C13,The Statue of Freedom and the Statue of Liberty are the same thing.,Vahdat hall and Roudaki hall are the same thing.,TRUE,FALSE,"Vahdat Hall (Q2389872), Roudaki Hall (Q2389872)

","(Vahdat Hall, also known as, Roudaki Hall)",Vahdat Hall and Roudaki Hall must be two names of a same Hall to make the claim correct.,,,,,
C14,A boulevard can typically be found in any city or town.,A boulevard is likely to be found in Aruppukkottai.,TRUE,TRUE,Aruppukkottai (Q584327),"(Aruppukkottai, instance of, town)",Aruppukkottai must be an urban area to be likely to include a boulevard.,,,,,
C15,Ronda Rousey has proved that girls are unable to participate in martial arts.,Sanaa Atabrour has proved that girls are unable to participate in martial arts.,FALSE,FALSE,Sanaa Atabrour (Q541735),"(Sanaa Atabrour, occupation, taekwondo athlete)",Sanaa Atabrour must have not been a female martial artist herself and have taked a specific action to prove that girls are unable to participate in martial arts.,,,,,
C16,Dmitry Medvedev plays hockey for the French national team.,Anita Reniers plays hockey for the French national team.,FALSE,FALSE,Anita Reniers (Q19950535),"(Anita Reniers, sport, taekwondo)",Anita Reniers must have been a professional hockey player and have French nationality to be able to play in French ice hockey team.,,,,,
C17,Pope Gregory VII released his best song in 2015.,Guido Tarlati released a best-selling song in 2015.,FALSE,FALSE,Guido Tarlati (Q378128),"(Guido Tarlati, date of death, 21 October 1327)",Guido Tarlati must have been alive in 2015 and be a professional singer for him to be likely to release a best selling song then.,,,is best ambiguous?,a best-selling song? The guy isn't singer:),ahh haha trick question!
C18,Charles the Bald ruled over France and Italy during the 9th century.,Ya'qub ibn al-Layth al-Saffar ruled over Afghanistan during a part of the 9th century.,TRUE,TRUE,"Ya'qub ibn al-Layth al-Saffar (Q45261)

","(Ya'qub ibn al-Layth al-Saffar, description, Founder of the Saffarid dynasty at Zaranj in what is now Afghanistan)",Ya'qub ibn al-Layth al-Saffar must have been the king of Afghanistan during a part of the 9th century to make the claim correct.,,,,,
C19,Dwyane Wade won 3 championships with the Miami Heat.,Carmelo Buonocore spent most of his career in Milan.,TRUE,TRUE,Carmelo Buonocore (Q1487652),"(Carmelo Buonocore, member of sports team, [Inter Milan [{start time, 1936}, {end time, 1945}], U.S. Palmese 1912 [{start time, 1933}, {end time, 1934}], A.C.R. Messina [{start time, 1934}, {end time, 1936}], Calcio Lecco 1912 [{start time, 1945}, {end time, 1947}], Unione Sportiva Peloro [{start time, 1929}, {end time, 1933}]])",Carmelo Buonocore must have been a member of a team based in Milan during a majority of his career to make the claim correct.,,,,,
C20,Pablo Neruda wrote a great number of exceptional poems.,Renzo Burini wrote a great number of exceptional poems.,FALSE,TRUE,Renzo Burini (Q1487896),"(Renzo Burini, occupation, [association football player, association football manager])",Renzo Burini must have been a poet to make the claim correct.,,,,,
C21,The Bugs Bunny cartoons were influenced by the cartoon Rick and Morty.,Giovanni Battista Casti's works may be influenced by Maria Grazia Lenisa's poems.,FALSE,FALSE,"Giovanni Battista Casti (Q251926), Maria Grazia Lenisa (Q105393510)
","(Giovanni Battista Casti, date of death, 5 February 1803), (Maria Grazia Lenisa, date of birth, 1935)",Giovanni Battista Casti must have written her poems after Maria Grazia Lenisa to be possible to be influenced by her poems.,,,,,
C22,The couple went to the movie theater to watch Prison Break.,It is likely for people to to watch Chez le prof. Pierre in a movie theater.,FALSE,FALSE,Chez le prof. Pierre (Q2963183),"(Chez le prof. Pierre, instance of, album)",Chez le prof. Pierre must have been a movie for people to be likely to watch it in a movie theater.,,,the couple? is this any generic couple?,is the new one better?,ya much clearer in my opinion
C23,Marshall McLuhan practice Islam fervently and has partaken in various jihads.,William Jaya Kusli practiced Islam fervently and has partaken in various jihads.,FALSE,FALSE,"William Jaya Kusli (Q108896582)
","(William Jaya Kusli, religion or worldview
Buddhism)",William Jaya Kusli's religion must have been Islam and there must be evidence of him participating in Jihads to make the claim correct.,,,,,
C24,Robert De Niro has a lot of popular songs he sings.,Volker Zotz has a lot of popular songs he sings.,FALSE,FALSE,Volker Zotz (Q84207),"(Volker Zotz, occupation, [philosopher, lecturer
, writer, university teacher, historian of religion])",Volker Zotz must have been a popular singer to make the claim correct.,,,,,
C25,Dwyane Wade played basketball during his career.,Alfons T'Kint played football during his career.,TRUE,TRUE,Alfons T'Kint (Q2915977),"(Alfons T'Kint, occupation, association football player)",Alfons T'Kint must have been a professional football player in part of his professional life to make the claim correct.,,,,,
C26,Nights begin to grow longer during the Autumn.,Nights grow longer during the season in which Nika Shakarami was born.,TRUE,TRUE,Nika Shakarami (Q114357437),"(Nika Shakarami, date of birth, 2 October 2005)",Nika Shakarami's date of birth must have been after the Summer solstice and before the Winter solstice to make the claim correct.,,,,,
C27,Nancy Pelosi represents her district in the U.S. Congress.,Pavlo Khazan is a member of the parliament of his homeland country.,TRUE,TRUE,Pavlo Khazan (Q45088),"(Pavlo Khazan, place of birth, Dnipro), (Pavlo Khazan, occupation, deputy {employer, Dnipropetrovsk Oblast Council}), (Dnipropetrovsk Oblast Council, description, legislature of Dnipropetrovsk Oblast, Ukraine), (Dnipro, instance of, centre of oblast)",Pavlo Khazan must be a member of a legislative organization in the same place that he was born in to make the claim correct.,,,,,
C28,Some women experience menopause when they age.,Benedetta Maroni is likely to have experienced menopause by the year 2060.,TRUE,TRUE,Benedetta Maroni (Q105721810),"(Benedetta Maroni, sex or gender, female), (Benedetta Maroni, date of birth, 21 April 2002)",Benedetta Maroni must be a woman and be older than 45 to be likely to have experienced menopause by 2060.,,,,,
C29,Modern vehicles use friction to Brake or slow down to come to a stop.,IKCO Samand uses friction to brake or slow down to come to a stop.,TRUE,TRUE,IKCO Samand (Q677378),"(IKCO Samand, instance of, automobile model)",IKCO Samand must be a vehicle to make the claim correct.,,,,,
C30,Alexander Graham Bell descended from a Scottish physicist.,Tibor Bártfay descended from a Scottish physicist.,FALSE,FALSE,Tibor Bártfay (Q12058940),"(Tibor Bártfay, father, Július Bártfay), (Július Bártfay, country of citizenship, Hungary)",Tibor Bártfay's father must have been a Scottish physicist to make the claim true.,,,,,
C31,Wilhelm Wundt studied under Sigmund Freud.,It is very likely that Arnold Lazarus was aware of who Sigmund Freud was.,TRUE,FALSE,"Arnold Lazarus (Q694785), Sigmund Freud (Q9215)
","(Arnold Lazarus, occupation, psychologist), (Sigmund Freud, description, Austrian neurologist and founder of psychoanalysis (1856–1939))",Arnold Lazarus must have been familiar with psychiatry or psychiatry history to make the claim correct.,,,,,
C32,Lake Tanganyika ceases to exist after drought.,Lake Urmia ceases to exist because of drought.,FALSE,FALSE,Urmia Lake (Q199551),"(Urmia Lake, area, 5,200 square kilometre)",There must be evidence of Urmia Lake being completely dried to make the claim correct.,,,,,
C33,Florence Nightingale acted in many movies and won an Oscar.,Nancy Chodorow acted in many movies and won an Oscar.,FALSE,FALSE,"Nancy Chodorow (Q598648)
","(Nancy Chodorow, occupation, [psychologist, writer, sociologist])",Nancy Chodorow must have been an actress to make the claim correct.,,,,,
C34,Satanism and Christianity go hand in hand.,The political ideologies of the Fuerza Nacional and the Tudeh Party of Iran go hand in hand.,FALSE,FALSE,"Fuerza Nacional (Q80685471), Tudeh Party of Iran (Q1339294)

","(Fuerza Nacional, political ideology, anti-communism), (Tudeh Party of Iran, political ideology, communism)",The political ideologies of Fuerza Nacional and the Tudeh party of Iran must be the same to make the claim correct.,,,,,
