ID,StrategyQA Question,Modified Question,Answer,Answer Original Question,KG Entities (Labels and QIDs),KG Triples,Inference Rule,Reasoning Steps,#of Hops,Comments,,,,,
S1,Will the Albany in Georgia reach a hundred thousand occupants before the one in New York?,"If both places have equal population growth, is the population in Horsens going to reach 60000 before Ikast?",TRUE,FALSE,"Horsens (Q190235), Ikast (Q1021277)

","(Horsens, population, 59,449, point in time, 2020), (Ikast, population, 15,979, point in time, 2022)","Assuming equal population growth rates, the population of the city that has a greater population will reach 60,000 before the other city.",,,,,,,,
S2,"Was animal in You're a Good Sport, Charlie Brown, hypothetically a hound?",Is Yui Yuigahama's pet a corgi?,FALSE,FALSE,Yui Yuigahama (Q97644811),"(Yui Yuigahama, has pet, Sablé), (Sablé, animal breed, dachshund)",The breed of Yui Yagashima's pet must be identified as corgi for it to be a corgi.,,,- Wikidata: beagle is a hunting dog,,,,,
S3,Does Paulo Coelho's wife make a living through speech?,Does Leopold Lanner's wife make a living using her voice?,TRUE,TRUE,Leopold Lanner (Q27906395),"(Leopold Lanner, spouse, Stefanie Hertel), (Stefanie Hertel, occupation, singer)",Leopold Lanner's wife must have an occupation related to voice to be making a living form her voice.,,,,,,,,
S4,Could Carl Friedrich Gauss speak to someone 100 miles away?,Would it have been possible for Maria de Ventadorn to speak to someone 100 miles away?,FALSE,FALSE,"Maria de Ventadorn (Q5363)
","(Maria de Ventadorn, date of birth, 12. century), (Maria de Ventadorn, date of death, 1222)",Maria de Ventadom must have lived after the invention of telephone to be able to talk to 100 miles away.,,,alive before telephone invention,"nothing wrong with it, but the llm says: However, there is no information or indication in the facts provided that suggests Maria de Ventadorn had access to such technology.","rephrased the question. 
i got this axiom when i tried: IF Maria de Ventadorn had access to long-range communication technology such as a telephone or radio AND the person 100 miles away also had access to the same technology, THEN Maria de Ventadorn could speak to someone 100 miles away.",I guess the problem is with my answering prompt. Don't bother changing the query then. We should think of modifying the answering prompt I guess.,i rephrased the question now do u think it's clearer now?,"Yeah I like the new one more, but tbh the previous one was also correct :) I think the problem is "
S5,Was a woman Prime Minister directly before or after Stanley Baldwin?,Was the predecessor of Ulf Kristersson in the position of Prime Minister a woman?,TRUE,TRUE,Ulf Kristersson (Q1780398),"(Ulf Kristersson, position held, Prime Minister of Sweden, replaces, Magdalena Andersson), (Magdalena Andersson, sex or gender, female)",Ulf Kristersson's predecessor must be identified as a female to have been a woman.,,,Before Ulf Kristersson (2022-) was Magdalena Andersson,,,,,
S6,Would Bobby Jindal's high school mascot eat kibble?,Does the animal that is Miriam Rodon Naveira's university mascot eat kibble?,TRUE,TRUE,Miriam Rodon Naveira (Q6873408),"(Miriam Rodon Naveira, educated at, Georgetown University), (Georgetown University, mascot, Jack the Bulldog)",The mascot of Miriam Rodon Naveira's university must be an animal like a dog or cat for it to be likely to eat kibble.,,,,"the llm was able to figure out the mascot, but said since it is not a real animal, it wouldn't eat kibble. Can you think of a better phrasing?","i got this axiom when i tried: IF Miriam Rodon Naveira's university mascot is an animal OR Miriam Rodon Naveira's university mascot is a fictional character known for eating kibble, THEN Miriam Rodon Naveira's university mascot would eat kibble.",,Does the animal associated with Miriam Rodon Naveria's university mascot eat kibble?,This is awesome!
S7,Were there greater landslides than 1980 United States presidential election?,Was the 2012 United States presidential election a bigger landslide than the one in 2008?,FALSE,FALSE,"2012 United States presidential election (Q4226), 2008 United States presidential election (Q45578)
","(2008 United States presidential election, candidate, Barack Obama, votes received
69,498,516), (2008 United States presidential election, candidate, John McCain
, votes received, 59,948,323), (2012 United States presidential election, candidate, Barack Obama, votes received, 65,915,795), (2012 United States presidential election, candidate, Mitt Romney, votes received, 60,933,504)","If the difference between vote counts of the winner and the runner-up in 2012 United States presidential election is greater than that of 2008 United States presidential election, it was a greater landslide.",,,Obama won by ~10mil votes in 2008 but ~5mil votes in 2012,,,,,
S8,Will the producer of Easy Rider become an octogenarian in 2021?,Will the director of Kung Fu Panda 4 be a quadragenarian in 2024?,FALSE,FALSE,Kung Fu Panda 4 (Q114707487),"(Kung Fu Panda 4, director, Mike Mitchell), (Mike Mitchell, date of birth, 18 October 1970)
",The director of Kung Fu Panda 4 must be between 40 and 50 of age to be a quadragenarian.,,,Mike Mitchell is 53,,,,,
S9,Could you watch all of JAG in six months?,Can you watch all of l'auberge du chien noir in six months?,TRUE,TRUE,"L'auberge du chien noir (Q3202574)
","(L'auberge du chien noir, duration, 43 minute), (L'auberge du chien noir, number of episodes, 376)","If the total duration of all episodes of L'auberge du chien noir is smaller than 6 months, it is possible to watch all of its episodes in 6 months.",,,Can you watch all of L'auberge du chien noir in six months?,,,,,
S10,Would The Dark Knight be appropriate for a preschool class?,Would The Tinker Tailor Soldier Spy be an appropriate film to show in a preschool class?,FALSE,FALSE,"Tinker Tailor Soldier Spy (Q681962)
","(Tinker Tailor Soldier Spy, ICAA rating, not recommended for children under 12)
","If the age rating of a movie is not recommended for children, it would not be a proper movie to be shown in a kindergarten.",,,,,,,,
