ID,StrategyQA Question,Modified Question,Answer,Answer Original Question,Comments,,,,,
S1,Will the Albany in Georgia reach a hundred thousand occupants before the one in New York?,"If both places have equal population growth, is the population in Horsens going to reach 60000 before Ikast?",TRUE,FALSE,,,,,,
S2,"Was animal in You're a Good Sport, Charlie Brown, hypothetically a hound?",Is Yui Yuigahama's pet a corgi?,FALSE,FALSE,- Wikidata: beagle is a hunting dog,,,,,
S3,Does Paulo Coelho's wife make a living through speech?,Does Leopold Lanner's wife make a living using her voice?,TRUE,TRUE,,,,,,
S4,Could Carl Friedrich Gauss speak to someone 100 miles away?,Would it have been possible for Maria de Ventadorn to speak to someone 100 miles away?,FALSE,FALSE,alive before telephone invention,"nothing wrong with it, but the llm says: However, there is no information or indication in the facts provided that suggests Maria de Ventadorn had access to such technology.","rephrased the question. 
i got this axiom when i tried: IF Maria de Ventadorn had access to long-range communication technology such as a telephone or radio AND the person 100 miles away also had access to the same technology, THEN Maria de Ventadorn could speak to someone 100 miles away.",I guess the problem is with my answering prompt. Don't bother changing the query then. We should think of modifying the answering prompt I guess.,i rephrased the question now do u think it's clearer now?,"Yeah I like the new one more, but tbh the previous one was also correct :) I think the problem is "
S5,Was a woman Prime Minister directly before or after Stanley Baldwin?,Was the predecessor of Ulf Kristersson in the position of Prime Minister a woman?,TRUE,TRUE,Before Ulf Kristersson (2022-) was Magdalena Andersson,,,,,
S6,Would Bobby Jindal's high school mascot eat kibble?,Does the animal that is Miriam Rodon Naveira's university mascot eat kibble?,TRUE,TRUE,,"the llm was able to figure out the mascot, but said since it is not a real animal, it wouldn't eat kibble. Can you think of a better phrasing?","i got this axiom when i tried: IF Miriam Rodon Naveira's university mascot is an animal OR Miriam Rodon Naveira's university mascot is a fictional character known for eating kibble, THEN Miriam Rodon Naveira's university mascot would eat kibble.",,Does the animal associated with Miriam Rodon Naveria's university mascot eat kibble?,This is awesome!
S7,Were there greater landslides than 1980 United States presidential election?,Was the 2012 United States presidential election a bigger landslide than the one in 2008?,FALSE,FALSE,Obama won by ~10mil votes in 2008 but ~5mil votes in 2012,,,,,
S8,Will the producer of Easy Rider become an octogenarian in 2021?,Will the director of Kung Fu Panda 4 be a quadragenarian in 2024?,FALSE,FALSE,Mike Mitchell is 53,,,,,
S9,Could you watch all of JAG in six months?,Can you watch all of l'auberge du chien noir in six months?,TRUE,TRUE,Can you watch all of L'auberge du chien noir in six months?,,,,,
S10,Would The Dark Knight be appropriate for a preschool class?,Would The Tinker Tailor Soldier Spy be an appropriate film to show in a preschool class?,FALSE,FALSE,,,,,,
S11,Is Isaac Newton buried at the same church as the author of Great Expectations?,Is the author of Tartarin of Tarascon buried in the same cemetery as Georges Rodenbach?,TRUE,TRUE,,,,,,
S12,Could someone listen to the entire U2 debut studio album during an episode of Peppa Pig?,Could Soleiman Eskandari have listened to the Nasime Vasl album?,FALSE,TRUE,"Entity is ""Beyonce's albums in chronological order"" which is 2 hops away from Beyonce... 
Maybe just mention's the name of the album (Renaissance)",Could someone listen to all of Beyonce's latest album during an episode of Peppa Pig?,,,,
S13,Could someone in Tokyo take a taxi to the The Metropolitan Museum of Art?,Could someone in Vaughan take a taxi to the Jamjuree Art Gallery?,FALSE,FALSE,,,,,,
S14,Could a fan of the Botany Swarm vote for John Key?,Could a local fan of the Botany Swarm vote for John Key?,FALSE,FALSE,just made it clearer,"just asking. is ""a local fan"" a common term in English? ",i wouldn't necessarily say common? but i think it is 'correct' to say local fan when u r a fan of the team of the same city/place,,,
S15,Was King Kong (2005 film) solvent?,Was Fantastic Beasts: The Secrets of Dumbledore solvent?,TRUE,TRUE,wikidata has data for box office in US and worldwide -> could make it more challenging,,,,,
S16,Did Richard III's father have greater longevity than him?,Did Dariush Homayoon have greater longevity than Bozorg Alavi?,FALSE,FALSE,,,,,,
S17,Could Eddie Murphy's children hypothetically fill a basketball court by themselves?,Could Pippa Middleton's children play monkey in the middle amongst themselves?,TRUE,TRUE,"She has three children, you need three people to play monkey in the middle",,,,,
S18,Was the 1980 presidential election won by a member of the Grand Old Party?,Was the 2022 South Korean presidential election won by a member of the People Power Party,TRUE,TRUE,,,,,,
S19,Was The Canterbury Tales written before One Thousand and One Nights?,Is the It's Hyorish an older album than Nasime vasl?,FALSE,FALSE,released on same day!,Was the movie Oppenheimer released before Barbie in the USA?,,,,
S20,Does Rupert Murdoch's alma mater have more history than the USA?,Does Toyoharu Tsutsui's alma mater have more history than Newfoundland and Labrador?,TRUE,TRUE,,,,,,
S21,Does Lupita Nyongo have citizenship in paternal Family of Barack Obama's origin country?,Does Diane von Fürstenberg have citizenship in the country where Astrid Whettnall's mother is from?,FALSE,FALSE,"Diane has citizenship for USA and Belgium, but Astrid's mother is Swedish",,,,,
S22,Is 3D printing able to make adenovirus?,Is 3D printing able to make Oliverpabstia?,FALSE,FALSE,,,,,,
S23,Is watching Star Wars necessary to know who Darth Vader is?,Is watching Coach Carter necessary to know who Ken Carter is?,FALSE,FALSE,,,,,,
S24,If someone loves buffalo wings do they enjoy capsaicin?,If someone loves Fesenjān do they enjoy pomegranate juice?,TRUE,TRUE,,,,,,
S25,Does Princess Peach's dress resemble a peach fruit?,Does Chloe Forkroad’s hair resemble a peach fruit?,FALSE,FALSE,,,,,,
S26,Can I hold Bing in a basket?,Can I hold Gamevcore in a basket?,FALSE,FALSE,,,,,,
S27,Can a snake swallow an M60 Patton?,Can a snake swallow a Spähpanzer SP I.C?,FALSE,FALSE,,,,,,
S28,Can the Persian Gulf fit in New Jersey?,Can Valli di Comacchio fit in Gilan province?,TRUE,TRUE,,,,,,
